Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Jonas Omlin,Montpellier,GK,10,808,0,0,0,1,0.0,68.3,0.1,0,6.69
John Stones,Man City,D(CR),8,731,0,2,1,0,0.6,94.7,1.1,0,6.68
Yannick Gerhardt,Wolfsburg,"D(L),M(CL)",8,700,3,0,1,0,1.3,74.9,0.6,1,6.68
Emanuel Aiwu,Cremonese,D(C),11,969,0,0,2,0,0.2,81.2,1.2,1,6.68
Nathan Patterson,Everton,"D(R),M(R)",8,765,0,0,1,0,0.8,79.6,0.6,0,6.68
Oihan Sancet,Athletic Bilbao,"M(C),FW",13,949,3,0,2,0,1.2,86.8,0.6,0,6.68
Illan Meslier,Leeds,GK,14,1260,0,0,0,0,0.0,54.9,0.1,2,6.68
Arnau Martinez,Girona,D(R),10,814,2,1,2,0,1.1,81.2,1.3,0,6.68
Roque Mesa,Real Valladolid,DMC,11,869,2,1,4,0,1.2,84.1,0.3,1,6.68
Dennis Geiger,Hoffenheim,M(C),14,1014,1,2,4,0,0.2,87.0,0.4,1,6.68
Tiago Djaló,Lille,D(CLR),13,1109,2,0,5,0,0.7,92.1,1.3,2,6.68
Florian Lejeune,Rayo Vallecano,D(C),12,951,3,0,2,1,1.2,82.3,1.7,1,6.68
Morgan Gibbs-White,Nottingham Forest,"AM(CR),FW",12,1039,2,2,1,0,1.5,68.2,1.5,3,6.68
Hans Hateboer,Atalanta,"D(R),M(R)",12,1047,1,0,6,0,0.6,80.4,1.5,1,6.68
Raheem Sterling,Chelsea,"M(CLR),FW",11,956,3,1,3,0,1.5,75.9,0.0,1,6.68
Faitout Maouassa,Montpellier,"D(L),M(LR)",8,657,1,4,0,0,0.8,68.5,0.2,0,6.68
Manuel Riemann,Bochum,GK,15,1350,0,0,1,0,0.0,59.2,0.3,2,6.68
Dominik Kohr,Mainz,DMC,14,1178,2,0,4,0,1.2,72.6,1.1,0,6.68
Maximiliano Caufriez,Clermont Foot,D(CR),9,790,0,0,4,0,0.2,88.4,1.1,0,6.68
Ansu Fati,Barcelona,AM(L),3,462,3,3,0,0,2.1,86.1,0.1,0,6.68
Leon Bailey,Aston Villa,"M(CLR),FW",11,833,3,2,4,0,1.2,69.1,0.9,1,6.67
Mostafa Mohamed,Nantes,FW,8,839,4,2,0,0,1.4,60.7,2.1,0,6.67
Matteo Pessina,Monza,AM(CR),12,997,2,1,2,0,0.9,89.0,1.1,0,6.67
Domingos Duarte,Getafe,D(C),13,1126,0,2,5,0,0.6,79.5,1.5,1,6.67
Marcelo Brozovic,Inter,M(CR),7,621,2,0,5,0,1.0,87.7,0.0,0,6.67
Alex Meret,Napoli,GK,15,1350,0,0,0,0,0.0,83.1,0.1,1,6.67
Adrián Embarba,Almeria,"AM(CLR),FW",5,424,1,3,2,1,1.2,73.8,0.2,0,6.67
Léo Baptistão,Almeria,"AM(CLR),FW",8,569,2,2,3,0,1.4,67.1,0.6,2,6.67
Waldemar Anton,Stuttgart,"D(CR),DMC",15,1346,1,0,2,0,0.5,81.8,2.3,0,6.67
Alex Sandro,Juventus,"D(CL),M(L)",9,780,0,1,3,1,0.2,87.4,1.1,0,6.67
Lassana Coulibaly,Salernitana,M(CL),14,1168,1,1,4,0,0.4,85.3,0.7,1,6.67
Beto,Udinese,FW,7,687,6,0,0,0,1.4,55.7,2.4,2,6.67
Fabinho,Liverpool,"D(CR),DMC",11,998,0,0,2,0,0.4,88.2,0.8,0,6.67
